variant_id,product_id,color,storage,size,cost_price,selling_price
1,1,Titanium Blue,256GB,,84599.10,93999.00
2,1,Natural Titanium,256GB,,84599.10,93999.00
3,1,Titanium Blue,512GB,,95399.10,105999.00
4,1,Natural Titanium,512GB,,95399.10,105999.00
5,2,Titanium Black,128GB,,71099.10,78999.00
6,2,Titanium White,128GB,,71099.10,78999.00
7,2,Titanium Black,256GB,,80099.10,88999.00
8,2,Titanium White,256GB,,80099.10,88999.00
9,3,Silver,128GB,,51299.10,56999.00
10,3,Blue,128GB,,51299.10,56999.00
11,3,Silver,256GB,,57599.10,63999.00
12,3,Blue,256GB,,57599.10,63999.00
13,4,Titanium Blue,128GB,,58499.10,64999.00
14,4,Natural Titanium,128GB,,58499.10,64999.00
15,4,Titanium Blue,256GB,,65699.10,72999.00
16,4,Natural Titanium,256GB,,65699.10,72999.00
17,5,Blue,128GB,,55799.10,61999.00
18,5,Pink,128GB,,55799.10,61999.00
19,5,Blue,256GB,,62999.10,69999.00
20,5,Pink,256GB,,62999.10,69999.00
21,6,White,256GB,,72899.10,80999.00
22,6,Silver,256GB,,72899.10,80999.00
23,6,White,512GB,,82799.10,91999.00
24,6,Silver,512GB,,82799.10,91999.00
25,7,Silver,128GB,,47699.10,52999.00
26,7,Gray,128GB,,47699.10,52999.00
27,7,Silver,256GB,,53999.10,59999.00
28,7,Gray,256GB,,53999.10,59999.00
29,8,Gold,128GB,,49499.10,54999.00
30,8,Black,128GB,,49499.10,54999.00
31,8,Gold,256GB,,55799.10,61999.00
32,8,Black,256GB,,55799.10,61999.00
33,9,Gold,256GB,,79199.10,87999.00
34,9,Black,256GB,,79199.10,87999.00
35,9,Gold,512GB,,89999.10,99999.00
36,9,Black,512GB,,89999.10,99999.00
37,10,Blue,128GB,,42659.10,47399.00
38,10,Green,128GB,,42659.10,47399.00
39,10,Blue,256GB,,48599.10,53999.00
40,10,Green,256GB,,48599.10,53999.00
41,11,Silver,128GB,,42659.10,47399.00
42,11,Gray,128GB,,42659.10,47399.00
43,11,Silver,256GB,,48599.10,53999.00
44,11,Gray,256GB,,48599.10,53999.00
45,12,Blue,128GB,,35909.10,39899.00
46,12,Green,128GB,,35909.10,39899.00
47,12,Blue,256GB,,40589.10,45099.00
48,12,Green,256GB,,40589.10,45099.00
49,13,Gold,128GB,,29249.10,32499.00
50,13,Black,128GB,,29249.10,32499.00
51,13,Gold,256GB,,33029.10,36699.00
52,13,Black,256GB,,33029.10,36699.00
53,14,Gold,128GB,,51039.12,57999.00
54,14,Black,128GB,,51039.12,57999.00
55,14,Gold,256GB,,58079.12,65999.00
56,14,Black,256GB,,58079.12,65999.00
57,15,Purple,128GB,,55439.12,62999.00
58,15,Gold,128GB,,55439.12,62999.00
59,15,Purple,256GB,,62479.12,70999.00
60,15,Gold,256GB,,62479.12,70999.00
61,16,White,128GB,,46639.12,52999.00
62,16,Silver,128GB,,46639.12,52999.00
63,16,White,256GB,,52799.12,59999.00
64,16,Silver,256GB,,52799.12,59999.00
65,17,Gold,128GB,,31943.12,36299.00
66,17,Black,128GB,,31943.12,36299.00
67,17,Gold,256GB,,36079.12,40999.00
68,17,Black,256GB,,36079.12,40999.00
69,18,Black,256GB,,51039.12,57999.00
70,18,White,256GB,,51039.12,57999.00
71,18,Black,512GB,,57199.12,64999.00
72,18,White,512GB,,57199.12,64999.00
73,19,Purple,128GB,,37223.12,42299.00
74,19,Gold,128GB,,37223.12,42299.00
75,19,Purple,256GB,,42063.12,47799.00
76,19,Gold,256GB,,42063.12,47799.00
77,20,Gray,128GB,,31591.12,35899.00
78,20,Blue,128GB,,31591.12,35899.00
79,20,Gray,256GB,,35727.12,40599.00
80,20,Blue,256GB,,35727.12,40599.00
81,21,Blue,128GB,,36431.12,41399.00
82,21,Green,128GB,,36431.12,41399.00
83,21,Blue,256GB,,41183.12,46799.00
84,21,Green,256GB,,41183.12,46799.00
85,22,White,128GB,,38719.12,43999.00
86,22,Silver,128GB,,38719.12,43999.00
