purchase_order_id,supplier_id,warehouse_id,purchase_datetime
1,32,8,2016-01-08 12:57:27
2,40,9,2016-02-03 16:20:11
3,24,1,2016-03-08 15:27:50
4,40,8,2016-03-25 18:07:48
5,25,8,2016-03-30 17:38:51
6,6,8,2016-04-13 13:34:02
7,1,1,2016-04-18 13:37:24
8,24,7,2016-04-19 17:38:08
9,13,7,2016-04-21 16:38:30
10,40,4,2016-04-21 17:09:28
11,17,1,2016-05-06 10:30:30
12,23,10,2016-05-14 15:59:43
13,40,7,2016-05-20 09:05:14
14,30,1,2016-05-20 17:08:02
15,26,8,2016-06-06 11:56:03
16,33,5,2016-06-17 13:30:57
17,25,5,2016-07-02 16:06:48
18,33,9,2016-07-05 12:50:46
19,24,5,2016-07-12 12:58:17
20,19,2,2016-07-13 10:47:17
21,33,8,2016-07-14 15:54:28
22,14,1,2016-07-18 16:33:04
23,30,5,2016-08-01 10:21:31
24,24,2,2016-08-02 13:01:05
25,24,7,2016-08-05 10:33:09
26,3,8,2016-08-22 10:28:11
27,23,8,2016-08-27 16:30:49
28,40,4,2016-08-31 13:47:57
29,2,8,2016-08-31 15:24:01
30,26,8,2016-09-01 17:18:29
31,10,12,2016-09-22 13:27:20
32,1,10,2016-09-23 13:30:22
33,24,8,2016-09-27 10:26:58
34,14,2,2016-09-27 17:37:58
35,24,7,2016-10-04 15:30:51
36,10,9,2016-10-04 17:51:06
37,25,8,2016-10-07 09:37:37
38,24,5,2016-10-21 10:48:53
39,31,1,2016-10-21 17:43:19
40,36,5,2016-11-01 15:59:08
41,25,12,2016-11-07 16:47:04
42,24,11,2016-11-09 11:08:03
43,1,6,2016-11-10 18:32:42
44,32,5,2016-11-22 13:12:18
45,33,6,2016-11-22 17:54:17
46,2,8,2016-12-02 17:12:36
47,25,8,2016-12-09 15:18:43
48,32,5,2016-12-10 13:37:36
49,30,7,2016-12-27 14:50:51
50,24,8,2016-12-27 17:25:13
51,14,8,2017-01-04 15:06:36
52,37,11,2017-01-06 09:14:50
53,5,8,2017-01-06 16:40:43
54,1,1,2017-01-16 12:14:35
55,2,8,2017-01-18 11:57:06
56,9,1,2017-02-03 09:37:35
57,6,6,2017-02-03 15:42:51
58,26,8,2017-02-06 16:48:29
59,12,11,2017-02-11 15:27:27
60,40,5,2017-02-16 18:04:32
61,31,9,2017-03-09 13:10:07
62,23,9,2017-03-10 13:34:06
63,24,9,2017-03-24 12:48:36
64,18,1,2017-03-29 16:04:39
65,25,1,2017-04-01 11:38:36
66,33,8,2017-04-07 15:09:17
67,24,11,2017-04-08 11:52:09
68,23,9,2017-04-15 12:28:01
69,33,4,2017-04-19 16:52:40
70,3,5,2017-04-21 14:41:07
71,36,8,2017-04-22 09:26:21
72,14,9,2017-04-22 13:30:31
73,30,1,2017-05-01 18:03:55
74,27,5,2017-05-04 10:09:28
75,33,10,2017-05-05 11:11:37
76,40,2,2017-05-11 15:55:43
77,24,8,2017-05-16 17:09:54
78,39,4,2017-06-12 13:17:10
79,22,1,2017-06-14 10:59:11
80,5,2,2017-06-14 11:25:23
81,24,8,2017-06-14 16:58:46
82,13,5,2017-06-15 18:34:10
83,23,8,2017-06-21 16:35:25
84,24,5,2017-06-22 11:20:52
85,5,1,2017-07-11 10:53:13
86,5,5,2017-07-19 11:16:40
87,24,2,2017-07-22 17:10:48
88,36,10,2017-07-28 18:03:25
89,24,8,2017-08-04 14:16:44
90,25,8,2017-08-08 13:40:33
91,24,1,2017-08-10 16:27:13
92,33,9,2017-08-11 12:59:50
93,24,8,2017-08-14 11:08:20
94,24,8,2017-08-17 14:45:16
95,32,4,2017-08-22 17:29:35
96,32,12,2017-09-07 12:56:30
97,25,10,2017-09-07 16:07:27
98,24,7,2017-09-19 18:49:22
99,13,3,2017-09-26 11:46:57
100,11,7,2017-09-27 11:55:31
101,4,10,2017-10-03 18:50:30
102,40,1,2017-10-14 11:42:11
103,38,3,2017-10-18 12:11:28
104,25,5,2017-10-20 09:30:18
105,38,10,2017-10-20 17:16:07
106,34,2,2017-10-21 11:56:21
107,2,4,2017-10-24 11:14:57
108,32,2,2017-10-24 13:46:57
109,2,7,2017-10-26 14:04:57
110,2,9,2017-10-30 10:48:46
111,11,2,2017-10-30 17:46:19
112,32,1,2017-11-02 17:25:13
113,29,10,2017-11-06 14:11:42
114,24,8,2017-11-06 14:58:21
115,38,8,2017-11-07 10:02:56
116,2,6,2017-11-07 15:23:28
117,5,4,2017-11-09 09:46:41
118,40,8,2017-11-16 13:43:23
119,13,9,2017-11-27 15:55:03
120,10,4,2017-11-28 15:06:55
121,28,9,2017-11-29 11:41:07
122,25,5,2017-12-04 10:17:01
123,27,8,2017-12-06 12:01:10
124,40,9,2017-12-11 13:54:30
125,37,5,2017-12-15 11:44:46
126,23,8,2018-01-05 10:12:56
127,18,5,2018-01-06 11:10:50
128,32,11,2018-01-06 17:23:32
129,24,8,2018-01-10 09:09:39
130,24,8,2018-01-12 09:13:51
131,1,7,2018-01-23 10:08:08
132,15,5,2018-01-23 10:48:40
133,23,10,2018-01-29 16:53:50
134,23,3,2018-02-01 13:37:10
135,23,8,2018-02-10 11:03:19
136,23,10,2018-02-14 12:05:28
137,24,7,2018-02-20 11:39:41
138,3,1,2018-02-27 18:14:17
139,24,3,2018-03-06 14:56:33
140,26,5,2018-03-06 17:39:18
141,15,7,2018-03-07 16:33:16
142,40,7,2018-03-09 14:58:03
143,23,9,2018-03-26 13:42:16
144,25,4,2018-03-26 18:53:07
145,32,8,2018-03-29 09:10:08
146,19,5,2018-03-30 11:14:39
147,27,8,2018-03-31 16:57:54
148,35,1,2018-04-03 10:09:54
149,39,8,2018-04-06 16:16:37
150,6,2,2018-04-12 12:22:28
151,29,6,2018-04-16 18:35:11
152,24,8,2018-04-24 09:43:59
153,40,6,2018-04-30 10:22:33
154,40,8,2018-05-02 17:38:17
155,24,6,2018-05-03 10:52:19
156,10,10,2018-05-04 13:49:28
157,1,2,2018-05-05 11:55:17
158,40,5,2018-05-07 14:23:32
159,17,8,2018-05-09 12:21:19
160,37,4,2018-05-17 18:23:18
161,29,1,2018-05-23 11:37:58
162,25,1,2018-05-26 09:43:09
163,12,9,2018-05-28 11:58:01
164,26,8,2018-05-30 09:41:30
165,27,8,2018-06-01 17:45:13
166,40,1,2018-06-06 18:03:22
167,24,11,2018-06-12 18:53:38
168,30,9,2018-06-13 14:41:06
169,20,5,2018-06-18 13:08:15
170,24,2,2018-06-18 13:35:55
171,33,1,2018-06-19 14:36:08
172,23,8,2018-06-19 18:15:41
173,29,9,2018-06-26 15:01:36
174,28,9,2018-06-26 18:41:02
175,6,9,2018-06-27 10:00:49
176,40,2,2018-06-29 10:22:47
177,24,5,2018-06-30 18:59:17
178,9,1,2018-07-02 14:07:44
179,39,12,2018-07-02 17:36:10
180,1,9,2018-07-11 15:11:53
181,14,10,2018-07-13 18:49:57
182,30,9,2018-07-14 12:17:03
183,13,11,2018-07-21 11:41:11
184,3,4,2018-08-04 15:48:22
185,23,5,2018-08-08 11:41:02
186,29,3,2018-08-10 16:22:58
187,11,1,2018-08-11 17:22:29
188,25,5,2018-08-11 18:51:19
189,13,1,2018-08-15 12:18:32
190,40,3,2018-08-16 13:16:09
191,38,7,2018-08-17 16:39:14
192,31,2,2018-08-20 11:15:39
193,11,4,2018-08-21 14:41:11
194,34,10,2018-08-22 09:22:15
195,24,1,2018-08-22 09:37:37
196,33,8,2018-08-22 14:30:48
197,35,7,2018-08-24 11:44:15
198,25,12,2018-08-24 16:09:10
199,36,9,2018-08-27 10:08:04
200,26,1,2018-08-28 12:41:54
201,23,9,2018-09-06 09:00:31
202,36,7,2018-09-07 14:15:49
203,34,5,2018-09-08 09:17:41
204,24,8,2018-09-08 17:12:21
205,32,3,2018-09-10 10:55:19
206,5,2,2018-09-10 16:53:18
207,17,10,2018-09-11 18:08:08
208,13,1,2018-09-12 12:45:57
209,25,1,2018-09-15 13:39:05
210,24,8,2018-09-17 12:44:45
211,32,9,2018-09-21 18:53:53
212,31,1,2018-09-24 15:37:13
213,29,9,2018-09-25 17:15:02
214,24,9,2018-09-29 09:50:28
215,38,7,2018-10-01 09:19:05
216,32,10,2018-10-02 11:08:51
217,23,5,2018-10-02 17:49:32
218,35,11,2018-10-04 18:05:45
219,25,9,2018-10-06 09:45:50
220,8,5,2018-10-10 13:15:51
221,4,10,2018-10-10 18:17:25
222,12,7,2018-10-11 13:38:18
223,40,8,2018-10-19 09:05:46
224,36,10,2018-10-19 15:42:36
225,32,9,2018-10-20 15:20:18
226,40,1,2018-10-22 16:59:32
227,26,8,2018-10-24 11:28:47
228,30,8,2018-10-26 17:49:27
229,40,2,2018-10-26 18:21:21
230,40,2,2018-11-05 09:27:52
231,27,8,2018-11-06 10:21:18
232,3,5,2018-11-07 14:12:10
233,40,4,2018-11-15 16:04:05
234,1,5,2018-11-17 14:28:45
235,40,2,2018-11-20 18:32:29
236,7,11,2018-11-21 11:12:30
237,4,9,2018-11-24 14:13:37
238,1,3,2018-11-29 15:51:03
239,26,9,2018-11-30 16:13:31
240,34,2,2018-12-01 12:21:05
241,22,1,2018-12-05 12:14:25
242,25,4,2018-12-10 17:24:32
243,8,5,2018-12-11 15:44:29
244,24,8,2018-12-15 15:09:48
245,14,8,2018-12-15 17:12:37
246,26,8,2018-12-19 11:04:06
247,5,2,2018-12-24 15:04:22
248,25,10,2018-12-25 14:13:01
249,40,6,2018-12-28 09:01:18
250,2,1,2018-12-28 17:58:44
251,40,5,2019-01-01 12:03:57
252,4,5,2019-01-02 16:14:27
253,3,5,2019-01-03 16:42:01
254,6,1,2019-01-08 09:07:54
255,32,3,2019-01-09 11:11:49
256,29,8,2019-01-09 17:21:44
257,35,9,2019-01-10 15:36:14
258,24,5,2019-01-14 11:19:30
259,5,12,2019-01-18 11:41:19
260,12,1,2019-01-22 14:44:12
261,23,4,2019-01-23 09:43:55
262,40,3,2019-01-30 09:27:26
263,40,2,2019-02-05 18:27:58
264,25,5,2019-02-06 17:11:24
265,21,5,2019-02-07 13:26:18
266,1,1,2019-02-08 18:36:34
267,27,1,2019-02-09 10:45:13
268,38,8,2019-02-11 11:34:39
269,40,6,2019-02-13 11:42:07
270,24,4,2019-02-13 18:25:10
271,27,8,2019-02-13 18:49:54
272,23,10,2019-02-21 16:35:32
273,7,6,2019-02-25 15:40:25
274,40,8,2019-02-25 16:04:15
275,16,12,2019-03-19 12:09:24
276,28,8,2019-03-23 17:39:09
277,13,1,2019-03-28 12:25:11
278,15,7,2019-03-28 18:06:36
279,5,5,2019-04-02 16:41:40
280,32,5,2019-04-09 17:45:33
281,12,10,2019-04-12 15:27:52
