order_id,customer_id,store_id,order_datetime,sales_channel,payment_method
1,84045,22,2016-05-24 05:48:36,Website,Net Banking
2,72538,22,2016-05-24 07:08:40,Website,Card
3,53182,22,2016-05-24 11:32:23,Offline Store,Card
4,64789,22,2016-05-24 16:49:24,Offline Store,Cash
5,64789,22,2016-05-24 17:19:43,Offline Store,Net Banking
6,64789,22,2016-05-24 19:02:23,Offline Store,Cash
7,72538,22,2016-05-25 13:57:44,Offline Store,Card
8,63055,22,2016-05-25 20:24:33,Offline Store,Cash
9,27338,22,2016-05-26 13:28:56,Offline Store,UPI
10,26768,22,2016-05-26 13:52:25,Website,UPI
11,13612,22,2016-05-26 15:53:24,Offline Store,Card
12,72538,22,2016-05-26 16:59:52,Offline Store,Cash
13,16207,22,2016-05-27 12:53:29,Offline Store,Cash
14,85271,22,2016-05-27 13:44:36,Offline Store,UPI
15,70275,22,2016-05-27 19:43:48,Offline Store,UPI
16,70275,22,2016-05-28 13:33:55,Offline Store,Card
17,38841,22,2016-05-28 21:54:32,Offline Store,UPI
18,42962,22,2016-05-29 12:10:14,Website,Net Banking
19,42962,22,2016-05-29 16:46:24,Website,Card
20,84045,22,2016-05-30 01:57:51,Mobile App,UPI
21,51210,22,2016-05-30 13:27:51,Offline Store,Cash
22,63055,22,2016-05-30 16:57:58,Offline Store,UPI
23,56570,22,2016-05-30 17:13:57,Offline Store,UPI
24,49314,22,2016-05-30 17:49:19,Offline Store,UPI
25,42962,22,2016-05-30 18:14:34,Offline Store,Cash
26,5482,22,2016-05-30 18:38:56,Offline Store,Card
27,49314,22,2016-05-30 19:20:55,Offline Store,UPI
28,57509,22,2016-05-30 19:55:15,Flipkart,Net Banking
29,91790,22,2016-05-30 20:21:35,Offline Store,Card
30,37062,22,2016-05-31 17:34:57,Offline Store,Card
31,16207,22,2016-05-31 18:05:32,Offline Store,Card
32,61127,22,2016-05-31 19:28:13,Offline Store,UPI
33,38841,22,2016-05-31 19:52:56,Offline Store,UPI
34,24970,22,2016-05-31 20:03:28,Offline Store,Cash
35,85271,22,2016-05-31 21:27:58,Offline Store,Cash
36,53872,22,2016-06-01 10:38:07,Offline Store,UPI
37,84128,22,2016-06-01 13:51:58,Offline Store,Cash
38,24970,22,2016-06-01 18:46:47,Offline Store,UPI
39,62617,22,2016-06-02 09:06:48,Amazon,UPI
40,61127,22,2016-06-02 18:55:39,Offline Store,Cash
41,13612,22,2016-06-02 19:13:43,Offline Store,Cash
42,29059,22,2016-06-02 20:16:58,Offline Store,Cash
43,93665,22,2016-06-03 13:15:55,Website,UPI
44,58359,22,2016-06-03 16:18:13,Offline Store,UPI
45,20371,22,2016-06-03 17:34:47,Offline Store,Cash
46,76176,22,2016-06-03 19:25:31,Offline Store,Card
47,27338,22,2016-06-03 19:27:35,Offline Store,UPI
48,56570,22,2016-06-04 14:18:05,Offline Store,UPI
49,95184,22,2016-06-04 14:59:12,Offline Store,Cash
50,68940,22,2016-06-04 17:13:41,Offline Store,UPI
51,76176,22,2016-06-04 17:24:17,Offline Store,UPI
52,8583,22,2016-06-04 19:24:08,Offline Store,UPI
53,91826,22,2016-06-04 19:49:52,Offline Store,Cash
54,39420,22,2016-06-04 21:01:59,Offline Store,Cash
55,67297,22,2016-06-05 16:37:13,Offline Store,UPI
56,97290,22,2016-06-05 17:20:09,Offline Store,UPI
57,8583,22,2016-06-05 19:40:36,Website,UPI
58,9860,22,2016-06-06 20:26:26,Offline Store,Card
59,13562,22,2016-06-07 11:00:33,Website,UPI
60,80198,22,2016-06-07 12:29:32,Offline Store,UPI
61,80676,22,2016-06-07 12:29:34,Offline Store,UPI
62,23980,22,2016-06-07 16:31:45,Offline Store,UPI
63,53872,22,2016-06-07 17:31:12,Offline Store,Card
64,80198,22,2016-06-07 17:39:15,Offline Store,UPI
65,46110,22,2016-06-07 20:03:24,Offline Store,Card
66,91826,22,2016-06-08 02:15:26,Website,UPI
67,27338,22,2016-06-08 13:55:18,Offline Store,Cash
68,12625,22,2016-06-08 18:53:09,Offline Store,Cash
69,16207,22,2016-06-08 19:23:41,Offline Store,Cash
70,62617,22,2016-06-08 19:48:23,Offline Store,Cash
71,72538,22,2016-06-08 21:53:09,Offline Store,Cash
72,84045,22,2016-06-09 17:59:04,Offline Store,Cash
73,53933,22,2016-06-09 18:06:21,Offline Store,Cash
74,84650,22,2016-06-09 20:36:23,Offline Store,UPI
75,8469,22,2016-06-09 20:42:46,Offline Store,Cash
76,36848,22,2016-06-10 18:08:53,Offline Store,Card
77,39939,22,2016-06-10 19:13:30,Offline Store,Net Banking
78,84732,22,2016-06-11 12:10:28,Offline Store,Card
79,84650,22,2016-06-11 19:45:21,Offline Store,Cash
80,49314,22,2016-06-12 12:47:56,Website,UPI
81,11705,22,2016-06-12 14:09:01,Offline Store,Cash
82,16207,22,2016-06-12 18:47:42,Offline Store,Cash
83,67297,22,2016-06-12 18:54:17,Offline Store,UPI
84,20152,22,2016-06-13 13:50:39,Offline Store,Cash
85,8114,22,2016-06-13 14:54:16,Offline Store,Cash
86,11705,22,2016-06-13 15:16:09,Offline Store,UPI
87,99483,22,2016-06-13 17:37:08,Offline Store,Cash
88,23405,22,2016-06-13 19:46:30,Offline Store,Card
89,28645,22,2016-06-13 19:51:05,Offline Store,UPI
90,67434,22,2016-06-14 11:04:20,Offline Store,UPI
91,3160,22,2016-06-14 19:23:27,Website,Net Banking
92,85683,22,2016-06-14 20:52:44,Offline Store,Cash
93,65829,22,2016-06-15 18:47:31,Offline Store,Cash
94,20152,22,2016-06-15 20:13:30,Offline Store,Card
95,84732,22,2016-06-15 20:57:10,Offline Store,UPI
96,20458,22,2016-06-16 16:56:03,Website,Net Banking
97,30076,22,2016-06-16 17:59:23,Offline Store,UPI
98,84650,22,2016-06-16 18:52:08,Offline Store,UPI
