return_id,order_detail_id,return_datetime,returned_quantity,return_status
1,61,2016-06-05 0:14:57,2,Approved
2,97,2016-06-07 8:52:41,1,Refunded
3,151,2016-06-11 19:43:30,1,Refunded
4,84,2016-06-12 0:14:43,1,Refunded
5,115,2016-06-19 8:55:26,1,Rejected
6,194,2016-06-21 18:59:13,1,Refunded
7,255,2016-06-29 7:42:03,1,Refunded
8,256,2016-06-30 3:11:21,1,Refunded
9,237,2016-06-30 8:25:33,1,Refunded
10,301,2016-07-13 2:38:44,1,Refunded
11,442,2016-07-24 16:45:16,1,Requested
12,585,2016-08-25 23:29:42,1,Refunded
13,678,2016-08-27 17:38:37,1,Refunded
14,752,2016-08-29 22:50:17,1,Refunded
15,698,2016-08-31 16:04:03,1,Replaced
16,702,2016-09-09 2:34:36,1,Refunded
17,804,2016-09-10 23:19:02,1,Refunded
18,840,2016-09-12 0:22:49,2,Replaced
19,647,2016-09-15 16:56:01,1,Refunded
20,878,2016-10-02 7:31:35,1,Refunded
21,995,2016-10-06 8:00:58,1,Refunded
22,1070,2016-10-09 4:45:53,1,Refunded
23,987,2016-10-09 15:10:34,1,Replaced
24,1108,2016-10-10 4:46:34,1,Refunded
25,924,2016-10-10 7:08:30,1,Refunded
26,970,2016-10-10 13:06:32,1,Refunded
27,1353,2016-10-25 1:42:54,2,Refunded
28,1348,2016-10-26 18:05:41,1,Refunded
29,1370,2016-11-01 21:41:09,1,Requested
30,1502,2016-11-04 19:47:27,1,Refunded
31,1496,2016-11-07 4:25:21,1,Refunded
32,1474,2016-11-08 8:33:54,1,Refunded
33,1635,2016-11-09 3:48:55,2,Refunded
34,1590,2016-11-09 22:24:30,1,Rejected
35,1684,2016-11-11 10:40:53,1,Refunded
36,451,2016-11-11 12:02:34,1,Refunded
37,1661,2016-11-12 23:30:47,1,Refunded
38,1783,2016-11-18 22:33:04,1,Refunded
39,1491,2016-11-25 1:29:20,1,Replaced
40,1842,2016-11-26 20:36:42,1,Approved
41,1819,2016-11-27 4:47:56,1,Refunded
42,1936,2016-11-27 11:48:00,1,Replaced
43,1812,2016-11-27 18:24:12,1,Refunded
44,1947,2016-11-30 13:55:18,2,Replaced
45,2013,2016-12-08 7:30:40,1,Replaced
46,2126,2016-12-08 21:29:33,1,Approved
47,2272,2016-12-28 5:59:01,1,Requested
48,2241,2016-12-29 18:18:08,1,Refunded
49,2307,2017-01-03 7:32:21,1,Refunded
50,2311,2017-01-10 22:44:35,1,Refunded
51,2365,2017-01-11 7:57:45,2,Rejected
52,2457,2017-01-20 1:14:31,1,Refunded
53,2165,2017-01-23 11:03:41,1,Approved
54,2171,2017-01-27 7:59:41,1,Refunded
55,2493,2017-01-27 16:19:10,1,Requested
56,2585,2017-01-31 2:16:16,3,Refunded
57,2627,2017-02-07 10:59:27,1,Refunded
58,2629,2017-02-08 7:23:22,1,Refunded
59,2628,2017-02-09 14:47:27,1,Refunded
60,2773,2017-02-20 23:05:51,1,Refunded
61,2954,2017-03-07 22:17:43,1,Approved
62,2878,2017-03-10 8:08:24,1,Refunded
63,2842,2017-03-20 4:41:05,1,Refunded
64,3096,2017-03-20 16:44:37,1,Refunded
65,3177,2017-04-02 4:15:51,1,Rejected
66,3199,2017-04-04 12:13:12,2,Refunded
67,3216,2017-04-04 20:07:28,1,Refunded
68,3356,2017-04-15 23:49:24,1,Replaced
69,3149,2017-04-16 0:01:22,1,Replaced
70,3501,2017-05-03 21:34:59,2,Replaced
71,3553,2017-05-13 21:54:14,1,Replaced
72,3497,2017-05-19 13:16:24,1,Approved
73,3712,2017-05-23 22:17:55,2,Requested
