inventory_id,location_type,store_id,warehouse_id,variant_id,quantity
1,Store,32,null,1,2
2,Store,60,null,1,3
3,Store,49,null,1,2
4,Store,38,null,1,1
5,Store,24,null,1,2
6,Store,57,null,1,2
7,Store,115,null,1,3
8,Store,97,null,1,2
9,Store,80,null,1,1
10,Store,59,null,1,1
11,Warehouse,null,5,1,1
12,Warehouse,null,9,1,7
13,Warehouse,null,6,1,3
14,Warehouse,null,7,1,2
15,Store,108,null,2,3
16,Store,75,null,2,1
17,Store,110,null,2,1
18,Store,102,null,2,3
19,Store,19,null,2,2
20,Store,81,null,2,1
21,Store,73,null,2,4
22,Store,98,null,2,1
23,Store,37,null,2,2
24,Store,68,null,2,2
25,Store,90,null,2,2
26,Warehouse,null,11,2,8
27,Warehouse,null,7,2,6
28,Store,30,null,3,1
29,Store,31,null,3,1
30,Store,71,null,3,1
31,Store,88,null,3,1
32,Store,73,null,3,1
33,Store,102,null,3,1
34,Store,33,null,3,1
35,Store,110,null,3,1
36,Store,18,null,3,1
37,Store,97,null,3,1
38,Store,36,null,3,1
39,Store,17,null,3,1
40,Store,80,null,3,1
41,Store,106,null,3,1
42,Store,96,null,3,1
43,Store,40,null,3,1
44,Store,119,null,3,1
45,Store,38,null,3,1
46,Store,116,null,3,1
47,Store,7,null,3,1
48,Warehouse,null,2,3,5
49,Warehouse,null,7,3,9
50,Store,59,null,4,1
51,Store,83,null,4,1
52,Store,23,null,4,1
53,Store,50,null,4,1
54,Store,43,null,4,1
55,Store,7,null,4,1
56,Store,90,null,4,1
57,Store,86,null,4,1
58,Store,52,null,4,1
59,Store,85,null,4,1
60,Store,38,null,4,1
61,Store,46,null,4,1
62,Store,48,null,4,1
63,Store,69,null,4,1
64,Warehouse,null,10,4,3
65,Warehouse,null,11,4,7
66,Store,90,null,5,1
67,Store,40,null,5,1
68,Store,54,null,5,2
69,Store,25,null,5,3
70,Store,29,null,5,2
71,Store,23,null,5,3
72,Store,7,null,5,2
73,Store,107,null,5,1
74,Store,118,null,5,2
75,Warehouse,null,6,5,6
76,Warehouse,null,7,5,5
77,Store,82,null,6,2
78,Store,110,null,6,3
79,Store,37,null,6,2
80,Store,19,null,6,2
81,Store,72,null,6,2
82,Store,38,null,6,2
83,Store,68,null,6,2
84,Store,96,null,6,1
85,Warehouse,null,2,6,5
86,Warehouse,null,5,6,5
87,Store,78,null,7,1
88,Store,7,null,7,1
89,Store,31,null,7,1
90,Store,105,null,7,1
91,Store,85,null,7,1
92,Store,108,null,7,1
93,Store,2,null,7,1
94,Store,106,null,7,1
95,Store,94,null,7,1
96,Store,12,null,7,1
97,Store,87,null,7,1
98,Store,10,null,7,1
99,Store,33,null,7,1
100,Store,5,null,7,1
101,Store,95,null,7,1
102,Store,34,null,7,1
103,Store,60,null,7,1
104,Store,52,null,7,1
105,Store,120,null,7,1
106,Store,19,null,7,1
107,Store,26,null,7,1
108,Warehouse,null,6,7,9
109,Warehouse,null,9,7,5
110,Store,74,null,8,1
111,Store,64,null,8,3
112,Store,58,null,8,3
113,Store,21,null,8,1
114,Store,110,null,8,2
115,Store,115,null,8,2
116,Store,14,null,8,3
117,Store,4,null,8,1
118,Warehouse,null,10,8,3
