product_id,product_name,supplier_id,brand,category
1,iPhone 17 Pro Max,40,Apple,Smartphones
2,iPhone 17 Pro,40,Apple,Smartphones
3,iPhone 17,40,Apple,Smartphones
4,iPhone 16 Pro,40,Apple,Smartphones
5,iPhone 16,40,Apple,Smartphones
6,Galaxy S25 Ultra,24,Samsung,Smartphones
7,Galaxy S25+,24,Samsung,Smartphones
8,Galaxy S25,24,Samsung,Smartphones
9,Galaxy Z Fold 7,24,Samsung,Smartphones
10,Galaxy Z Flip 7,24,Samsung,Smartphones
11,Galaxy A56,24,Samsung,Smartphones
12,Galaxy A36,24,Samsung,Smartphones
13,Galaxy M36,24,Samsung,Smartphones
14,Pixel 10 Pro XL,1,Google,Smartphones
15,Pixel 10 Pro,1,Google,Smartphones
16,Pixel 10,1,Google,Smartphones
17,Pixel 9a,1,Google,Smartphones
18,Xiaomi 15 Ultra,32,Xiaomi,Smartphones
19,Xiaomi 15 Pro,32,Xiaomi,Smartphones
20,Xiaomi 15,32,Xiaomi,Smartphones
21,Redmi Note 14 Pro+,32,Xiaomi,Smartphones
22,Redmi Note 14 Pro,32,Xiaomi,Smartphones
23,Redmi Note 14,32,Xiaomi,Smartphones
24,Redmi 14C,32,Xiaomi,Smartphones
25,OnePlus 13,33,OnePlus,Smartphones
26,OnePlus 13R,33,OnePlus,Smartphones
27,Nord 5,33,OnePlus,Smartphones
28,Nord CE5,33,OnePlus,Smartphones
29,Nord CE4 Lite,33,OnePlus,Smartphones
30,X200 Ultra,2,Vivo,Smartphones
31,X200 Pro,2,Vivo,Smartphones
32,X200,2,Vivo,Smartphones
33,V50 Pro,2,Vivo,Smartphones
34,V50,2,Vivo,Smartphones
35,Find X8 Ultra,3,Oppo,Smartphones
36,Find X8 Pro,3,Oppo,Smartphones
37,Reno 14 Pro,3,Oppo,Smartphones
38,Reno 14,3,Oppo,Smartphones
39,A5 Pro,3,Oppo,Smartphones
40,GT 7 Pro,34,Realme,Smartphones
41,GT 7,34,Realme,Smartphones
42,Realme 15 Pro+,34,Realme,Smartphones
43,Realme 15 Pro,34,Realme,Smartphones
44,Narzo 80 Pro,34,Realme,Smartphones
45,Edge 60 Pro,4,Motorola,Smartphones
46,Edge 60,4,Motorola,Smartphones
47,Moto G96,4,Motorola,Smartphones
48,Phone (3),35,Nothing,Smartphones
49,Phone (3a) Pro,35,Nothing,Smartphones
50,CMF Phone 2 Pro,35,Nothing,Smartphones
51,MacBook Air (M4),40,Apple,Laptops
52,MacBook Pro (M4 Pro),40,Apple,Laptops
53,ThinkPad X1 Carbon,26,Lenovo,Laptops
54,ThinkPad E16,26,Lenovo,Laptops
55,Yoga Slim 7i,26,Lenovo,Laptops
56,Yoga Pro 9i,26,Lenovo,Laptops
57,IdeaPad Slim 5,26,Lenovo,Laptops
58,LOQ 15,26,Lenovo,Laptops
59,OmniBook X,28,HP,Laptops
60,Spectre x360,28,HP,Laptops
61,Envy x360,28,HP,Laptops
62,Pavilion Plus,28,HP,Laptops
63,Victus 15,28,HP,Laptops
64,XPS 13,29,Dell,Laptops
65,Inspiron 14,29,Dell,Laptops
66,Inspiron 16,29,Dell,Laptops
67,Latitude 5450,29,Dell,Laptops
68,Alienware m16,29,Dell,Laptops
69,Zenbook S16,27,ASUS,Laptops
70,Vivobook S15,27,ASUS,Laptops
71,Vivobook 15,27,ASUS,Laptops
72,ROG Zephyrus G16,27,ASUS,Laptops
73,TUF Gaming A15,27,ASUS,Laptops
74,Swift Go 14,30,Acer,Laptops
75,Swift X 14,30,Acer,Laptops
76,Aspire 5,30,Acer,Laptops
77,Nitro V 15,30,Acer,Laptops
78,Prestige 16 AI,5,MSI,Laptops
79,Katana 15,5,MSI,Laptops
80,Cyborg 15,5,MSI,Laptops
81,Galaxy Book5 Pro,24,Samsung,Laptops
82,Galaxy Book5 360,24,Samsung,Laptops
83,Surface Laptop 7,39,Microsoft,Laptops
84,Gram 16,23,LG,Laptops
85,Gram Pro,23,LG,Laptops
86,iPad,40,Apple,Tablets
87,iPad Air,40,Apple,Tablets
88,iPad mini,40,Apple,Tablets
89,iPad Pro,40,Apple,Tablets
90,iPad Pro Nano-texture,40,Apple,Tablets
91,Galaxy Tab S10 Ultra,24,Samsung,Tablets
92,Galaxy Tab S10+,24,Samsung,Tablets
93,Galaxy Tab S10,24,Samsung,Tablets
94,Galaxy Tab S10 FE,24,Samsung,Tablets
95,Galaxy Tab A9+,24,Samsung,Tablets
