purchase_order_detail_id,purchase_order_id,variant_id,quantity
1,1,71,22
2,1,76,17
3,1,79,25
4,1,78,17
5,1,80,18
6,2,454,73
7,2,447,26
8,2,546,42
9,2,452,14
10,2,208,12
11,2,20,20
12,2,7,14
13,2,14,20
14,2,10,31
15,2,449,35
16,3,51,58
17,3,33,48
18,3,393,29
19,3,43,58
20,3,548,69
21,3,462,97
22,3,34,47
23,3,555,45
24,3,782,167
25,3,559,55
26,4,10,32
27,4,202,20
28,4,16,27
29,4,331,20
30,4,447,47
31,4,205,17
32,4,539,26
33,5,731,19
34,5,732,21
35,5,477,41
36,5,471,34
37,5,472,14
38,5,429,16
39,5,419,11
40,5,426,21
41,6,602,45
42,6,605,32
43,6,389,24
44,6,606,42
45,6,683,42
46,6,681,37
47,6,687,38
48,6,679,23
49,7,58,40
50,7,695,51
51,7,56,52
52,7,57,46
53,7,692,46
54,7,387,26
55,8,393,19
56,8,404,15
57,8,394,23
58,8,391,24
59,8,782,113
60,8,787,104
61,8,630,19
62,8,29,38
63,8,357,18
64,8,49,32
65,8,27,8
66,8,350,23
67,8,345,18
68,8,550,31
69,9,516,77
70,9,596,28
71,9,793,173
72,9,794,131
73,9,599,20
74,9,510,65
75,9,597,32
76,9,511,69
77,9,512,49
78,10,15,30
79,10,204,27
80,10,17,29
81,10,452,67
82,10,206,24
83,10,449,76
84,11,809,277
85,11,534,103
86,11,806,130
87,11,535,102
88,11,808,130
89,11,805,119
90,11,812,194
91,11,810,205
92,12,406,26
93,12,615,21
94,12,415,23
95,12,417,26
96,12,320,15
97,12,411,19
98,13,340,18
99,13,544,17
100,13,449,29
101,13,201,22
102,13,18,18
103,13,321,26
104,13,547,16
105,13,339,14
106,13,20,9
107,13,10,33
108,13,12,40
109,13,205,25
110,13,208,16
111,14,286,23
112,14,285,22
113,14,293,20
114,14,288,36
115,15,232,5
116,15,373,14
117,15,760,14
118,15,219,6
119,15,372,13
120,15,210,3
121,15,216,15
122,15,209,17
123,15,377,21
124,15,375,16
125,15,376,9
126,15,229,13
127,16,104,10
128,16,581,17
129,16,579,21
130,16,382,19
131,16,580,15
132,16,106,11
133,17,420,16
134,17,428,19
135,17,737,16
136,17,736,20
137,17,418,20
138,17,419,20
139,17,738,20
140,18,114,45
141,18,107,14
142,18,380,23
143,18,582,19
144,18,381,24
145,18,105,21
146,18,103,32
147,19,558,25
148,19,551,3
149,19,349,17
150,19,39,17
151,19,24,18
152,20,573,71
153,20,574,62
154,20,575,61
155,20,572,55
156,20,569,73
157,21,583,40
158,21,381,19
159,21,379,16
160,21,104,13
161,21,582,29
162,21,110,9
163,22,531,111
164,22,799,78
165,22,801,108
166,22,798,95
167,22,802,84
168,22,803,111
169,22,797,87
170,23,286,8
171,23,288,25
172,23,291,20
173,23,285,28
174,23,294,16
175,24,33,39
176,24,551,68
177,24,50,46
178,24,783,208
179,24,310,27
180,24,456,148
181,24,40,40
182,24,786,161
183,24,351,19
184,24,632,24
185,25,552,27
186,25,626,24
187,25,35,16
188,25,352,18
189,25,26,30
190,25,348,23
191,26,155,41
192,26,147,9
193,26,153,32
194,26,156,12
195,26,148,13
196,26,146,14
197,27,414,24
198,27,620,21
199,27,412,11
200,27,616,20
201,27,413,18
202,27,407,16
203,27,622,20
204,27,319,12
205,27,416,24
206,28,7,41
207,28,17,47
208,28,5,41
209,28,544,52
210,28,338,20
211,28,333,23
212,29,707,48
213,29,117,22
214,29,126,14
215,29,125,16
216,29,132,12
217,29,133,28
218,29,136,7
219,30,212,18
220,30,219,7
221,30,210,6
222,30,232,9
223,30,222,17
224,30,215,9
225,30,224,10
226,30,214,6
227,30,376,8
228,30,378,12
229,30,374,17
230,30,230,5
231,31,764,20
232,31,492,40
233,31,489,65
234,31,493,49
235,31,479,54
236,31,491,62
237,32,55,28
238,32,63,31
239,32,56,19
240,32,387,20
241,32,693,54
242,33,355,21
243,33,50,17
244,33,457,8
245,33,633,23
246,33,358,17
247,33,347,3
248,33,630,18
249,33,396,15
250,33,32,3
251,33,42,3
252,33,44,5
253,33,398,10
254,34,530,162
255,34,800,198
256,34,804,293
257,34,803,313
258,34,533,107
259,34,799,365
260,34,532,86
261,34,797,288
262,35,632,22
263,35,557,30
264,35,36,17
265,35,341,21
266,35,403,22
267,35,463,17
268,35,559,37
269,35,27,14
270,35,48,37
271,35,46,13
272,35,788,194
273,35,787,206
274,36,761,23
275,36,489,74
276,36,485,63
277,36,491,57
278,36,490,62
279,36,486,56
280,36,493,60
281,36,487,57
282,36,479,56
283,37,734,22
284,37,464,10
285,37,466,11
286,37,473,8
287,37,476,25
288,38,25,11
289,38,552,19
290,38,631,30
291,38,551,6
292,38,22,3
293,38,42,10
294,39,721,43
295,39,722,43
296,39,724,38
297,39,723,39
298,40,647,24
299,40,651,21
300,40,652,21
301,40,653,23
302,40,650,20
303,40,649,20
304,40,654,28
305,41,422,20
306,41,471,73
307,41,469,51
308,41,470,52
309,41,736,23
310,41,466,76
311,41,423,19
312,41,468,53
313,41,478,67
314,42,783,233
315,42,52,64
316,42,459,61
317,42,786,162
318,43,65,49
319,43,385,26
320,43,692,32
321,43,697,37
322,44,92,5
323,44,93,4
324,44,83,10
325,44,588,6
326,44,74,5
327,44,584,8
328,44,69,15
329,44,586,10
330,44,87,12
331,44,88,14
332,44,589,10
333,45,580,50
334,45,380,22
335,45,115,40
336,45,100,62
337,46,702,26
338,46,120,24
339,46,118,8
340,46,135,3
341,46,136,11
342,47,469,24
343,47,472,20
344,47,466,26
345,47,739,18
346,48,92,11
347,48,363,15
348,48,96,13
349,48,74,11
350,48,93,10
351,48,361,20
352,48,95,12
353,49,288,23
354,49,295,23
355,49,294,24
356,49,290,26
357,49,444,21
358,49,445,22
359,49,287,28
360,49,293,19
361,49,289,31
362,49,296,25
363,49,285,24
364,49,286,23
365,50,311,8
366,50,455,6
367,50,636,27
368,50,785,27
369,50,38,7
370,50,456,6
371,50,342,7
372,50,26,19
373,50,357,19
374,50,347,1
375,50,458,11
376,50,461,6
377,51,530,16
378,51,533,14
379,51,804,55
380,51,532,37
381,51,801,71
382,51,802,65
383,51,800,38
384,51,531,24
385,51,798,32
386,51,799,47
387,51,797,37
388,52,666,18
389,52,664,19
390,52,665,21
391,52,667,20
392,52,662,20
393,52,663,21
394,53,717,44
395,53,297,13
396,53,299,15
397,53,298,14
398,53,304,16
399,53,305,15
400,53,718,38
401,53,302,21
402,53,720,37
403,53,303,19
404,53,300,20
405,53,719,32
406,54,691,26
407,54,68,38
408,54,54,34
409,54,57,21
410,54,694,42
411,54,695,18
412,54,690,21
413,54,66,58
414,54,63,29
415,55,118,14
416,55,128,28
417,55,136,26
418,55,700,42
419,55,701,46
420,55,129,8
421,55,135,10
422,55,124,9
423,55,127,19
424,55,130,29
425,55,702,49
426,55,119,7
427,55,122,23
428,56,751,24
429,56,442,21
430,56,749,15
431,56,443,25
432,57,688,43
433,57,389,22
434,57,604,53
435,57,607,63
436,57,684,32
437,57,390,16
438,57,682,33
439,57,689,24
440,57,687,31
441,57,680,21
442,57,681,32
443,57,388,26
444,58,219,2
445,58,210,6
446,58,225,10
447,58,223,7
448,58,214,3
449,59,504,61
450,59,505,105
