order_detail_id,order_id,variant_id,quantity,discount_percentage
1,1,681,2,12.31
2,1,548,2,14.79
3,1,447,1,18.02
4,2,426,1,11.54
5,2,27,1,9.99
6,3,679,1,0.00
7,4,731,1,0.00
8,5,782,1,20.79
9,5,56,1,10.50
10,6,345,1,7.64
11,7,787,2,21.00
12,7,10,1,9.99
13,7,812,4,21.64
14,7,692,3,15.79
15,8,18,3,9.99
16,8,547,2,14.50
17,8,782,1,0.00
18,9,510,1,0.00
19,9,615,1,16.54
20,9,809,2,21.82
21,10,812,1,21.36
22,11,806,1,24.98
23,12,544,1,18.01
24,12,79,1,11.99
25,13,419,2,12.75
26,13,10,1,7.28
27,14,345,2,8.44
28,14,548,1,14.61
29,14,477,1,17.11
30,15,56,2,11.99
31,15,782,2,26.68
32,16,339,1,11.88
33,16,33,1,9.99
34,16,516,1,13.57
35,16,546,7,13.62
36,17,692,1,0.00
37,18,286,4,12.09
38,18,794,1,24.06
39,19,606,1,13.17
40,19,58,1,10.63
41,20,782,1,22.82
42,20,71,1,4.61
43,21,79,1,5.61
44,22,630,1,17.40
45,22,679,2,17.12
46,23,202,1,10.37
47,23,534,1,16.65
48,24,80,1,11.99
49,25,331,1,7.57
50,25,321,1,8.53
51,26,787,1,22.06
52,27,597,1,15.28
53,28,511,1,12.79
54,29,599,1,13.86
55,29,79,1,0.00
56,29,345,5,5.63
57,29,426,1,10.17
58,30,57,3,0.00
59,30,809,1,22.74
60,30,812,1,23.28
61,30,49,2,9.99
62,31,692,2,13.30
63,31,806,2,28.21
64,31,615,1,14.23
65,32,809,3,20.50
66,32,782,2,23.80
67,32,462,2,10.59
68,33,510,1,19.17
69,34,782,1,0.00
70,35,510,1,0.00
71,35,7,1,9.99
72,35,810,2,24.32
73,36,452,1,16.07
74,36,812,1,22.51
75,37,810,1,16.45
76,38,79,1,9.22
77,39,29,1,9.99
78,39,462,1,12.79
79,39,454,1,19.67
80,39,17,1,9.99
81,40,812,1,23.62
82,40,18,1,9.64
83,41,692,1,15.30
84,41,43,1,9.10
85,42,550,1,13.22
86,43,51,1,9.99
87,44,447,1,17.73
88,44,477,1,0.00
89,45,357,1,7.77
90,46,511,1,9.92
91,47,679,2,0.00
92,47,548,1,9.47
93,48,695,1,15.04
94,48,615,1,14.96
95,48,812,1,22.19
96,49,43,1,4.63
97,50,58,1,11.45
98,50,510,1,15.11
99,51,615,1,14.41
100,52,787,2,21.79
101,52,512,1,16.02
102,53,10,1,9.99
103,53,471,1,13.77
104,53,33,1,9.99
105,54,285,1,11.53
106,55,76,1,8.91
107,56,512,1,13.40
108,56,393,1,12.62
109,56,808,1,23.92
