inventory_id,location_type,store_id,warehouse_id,variant_id,quantity
1,Warehouse,null,1,1,5
2,Warehouse,null,1,2,4
3,Warehouse,null,1,3,3
4,Warehouse,null,1,4,3
5,Warehouse,null,1,5,3
6,Warehouse,null,1,6,4
7,Warehouse,null,1,7,5
8,Warehouse,null,1,8,3
9,Warehouse,null,1,9,3
10,Warehouse,null,1,10,3
11,Warehouse,null,1,11,3
12,Warehouse,null,1,12,3
13,Warehouse,null,1,13,4
14,Warehouse,null,1,14,4
15,Warehouse,null,1,15,3
16,Warehouse,null,1,16,5
17,Warehouse,null,1,17,4
18,Warehouse,null,1,18,6
19,Warehouse,null,1,19,3
20,Warehouse,null,1,20,5
21,Warehouse,null,1,21,3
22,Warehouse,null,1,22,3
23,Warehouse,null,1,23,4
24,Warehouse,null,1,25,3
25,Warehouse,null,1,29,4
26,Warehouse,null,1,30,3
27,Warehouse,null,1,31,4
28,Warehouse,null,1,32,3
29,Warehouse,null,1,33,3
30,Warehouse,null,1,34,3
31,Warehouse,null,1,35,3
32,Warehouse,null,1,36,3
33,Warehouse,null,1,37,3
34,Warehouse,null,1,38,3
35,Warehouse,null,1,39,3
36,Warehouse,null,1,40,4
37,Warehouse,null,1,41,3
38,Warehouse,null,1,42,3
39,Warehouse,null,1,43,3
40,Warehouse,null,1,44,3
41,Warehouse,null,1,45,4
42,Warehouse,null,1,46,3
43,Warehouse,null,1,47,3
44,Warehouse,null,1,48,3
45,Warehouse,null,1,49,3
46,Warehouse,null,1,50,3
47,Warehouse,null,1,51,5
48,Warehouse,null,1,52,3
49,Warehouse,null,1,53,4
50,Warehouse,null,1,54,3
51,Warehouse,null,1,55,3
52,Warehouse,null,1,56,5
53,Warehouse,null,1,57,3
54,Warehouse,null,1,58,3
55,Warehouse,null,1,59,3
56,Warehouse,null,1,60,3
57,Warehouse,null,1,61,4
58,Warehouse,null,1,62,3
59,Warehouse,null,1,63,3
60,Warehouse,null,1,64,3
61,Warehouse,null,1,65,4
62,Warehouse,null,1,66,3
63,Warehouse,null,1,67,3
64,Warehouse,null,1,68,3
65,Warehouse,null,1,69,3
66,Warehouse,null,1,70,4
67,Warehouse,null,1,71,3
68,Warehouse,null,1,73,3
69,Warehouse,null,1,74,3
70,Warehouse,null,1,75,3
71,Warehouse,null,1,76,3
72,Warehouse,null,1,77,3
73,Warehouse,null,1,78,3
74,Warehouse,null,1,79,3
75,Warehouse,null,1,80,3
76,Warehouse,null,1,81,3
77,Warehouse,null,1,82,4
78,Warehouse,null,1,83,3
79,Warehouse,null,1,85,3
80,Warehouse,null,1,86,3
81,Warehouse,null,1,87,3
82,Warehouse,null,1,88,3
83,Warehouse,null,1,89,3
84,Warehouse,null,1,90,3
85,Warehouse,null,1,91,3
86,Warehouse,null,1,92,3
87,Warehouse,null,1,93,3
88,Warehouse,null,1,94,3
89,Warehouse,null,1,95,3
90,Warehouse,null,1,96,3
91,Warehouse,null,1,97,4
92,Warehouse,null,1,98,4
93,Warehouse,null,1,99,4
94,Warehouse,null,1,100,3
95,Warehouse,null,1,101,4
96,Warehouse,null,1,102,3
97,Warehouse,null,1,103,3
